run_id,conv1_filters,conv2_filters,kernel_size,dropout,hidden_nodes,batch_size,epochs,lr,parameters,train_loss,train_accuracy,test_loss,test_accuracy,test_error,train_seconds,seconds_per_epoch
1,10,20,5,0.5,50,256,2,0.01,54840,2.186298755645752,0.2745,2.0319364929199217,0.5495,0.4505,10.982672499994806,5.491336249997403
2,6,20,5,0.5,50,256,2,0.01,52736,2.070772018432617,0.37625,1.74009326171875,0.708,0.29200000000000004,11.00219880000077,5.501099400000385
3,16,20,5,0.5,50,256,2,0.01,57996,2.1393422250747682,0.315875,1.921557159423828,0.5665,0.4335,12.413906200003112,6.206953100001556
4,24,20,5,0.5,50,256,2,0.01,62204,1.9381463184356689,0.47675,1.4428365173339843,0.6675,0.3325,14.364212000000407,7.1821060000002035
5,10,12,5,0.5,50,256,2,0.01,33232,2.2231579151153564,0.2365,2.129921661376953,0.4385,0.5615,11.312250199996924,5.656125099998462
6,10,32,5,0.5,50,256,2,0.01,87252,2.127178450584412,0.38675,1.8750020446777345,0.652,0.348,12.986683000002813,6.4933415000014065
7,10,48,5,0.5,50,256,2,0.01,130468,1.484618893623352,0.649625,0.892566650390625,0.749,0.251,13.597673099997337,6.7988365499986685
8,10,20,3,0.5,50,256,2,0.01,51480,2.1193585891723634,0.340625,1.89266552734375,0.5855,0.4145,10.377921200000856,5.188960600000428
9,10,20,7,0.5,50,256,2,0.01,59880,1.9523669757843019,0.479375,1.4232734375,0.686,0.31399999999999995,18.528838199999882,9.264419099999941
10,10,20,5,0.0,50,256,2,0.01,54840,2.0065902128219606,0.5415,1.6662587890625,0.6865,0.3135,12.855951500001538,6.427975750000769
11,10,20,5,0.25,50,256,2,0.01,54840,2.2027342109680177,0.31475,2.0922890319824217,0.457,0.5429999999999999,12.438595800005714,6.219297900002857
12,10,20,5,0.65,50,256,2,0.01,54840,2.083993980407715,0.334125,1.7585003356933593,0.5875,0.4125,13.161162999997032,6.580581499998516
13,10,20,5,0.5,24,256,2,0.01,29074,2.1514500398635863,0.37075,1.9792951049804688,0.5755,0.4245,14.275943799999368,7.137971899999684
14,10,20,5,0.5,100,256,2,0.01,104390,2.156008069038391,0.316,1.9694269104003905,0.599,0.401,14.503481899999315,7.2517409499996575
15,10,20,5,0.5,160,256,2,0.01,163850,2.1796141300201417,0.336,2.0130420227050783,0.4845,0.5155000000000001,13.927808300002653,6.963904150001326
16,10,20,5,0.5,50,64,2,0.01,54840,0.5959915740489959,0.823625,0.3620062026977539,0.898,0.10199999999999998,25.10669649999909,12.553348249999544
17,10,20,5,0.5,50,128,2,0.01,54840,1.3084608669281006,0.646625,0.5840276489257813,0.849,0.15100000000000002,16.048414899996715,8.024207449998357
18,10,20,5,0.5,50,512,2,0.01,54840,2.2429712867736815,0.230375,2.20081689453125,0.3545,0.6455,10.343827099997725,5.171913549998862
