run_id,trainable_scope,optimizer_name,learning_rate,batch_size,dropout,epochs,target_accuracy,epochs_run,reached_target,final_eval_loss,final_train_accuracy,best_eval_accuracy,trainable_parameters,train_seconds,seconds_per_epoch
1,fc2_only,sgd,0.01,5,0.5,40,1.0,5,True,0.3572700619697571,0.8148148148148148,1.0,153,0.5188995999997132,0.10377991999994265
2,fc1_fc2,sgd,0.01,5,0.5,40,1.0,3,True,0.12183011323213577,0.7777777777777778,1.0,16203,0.2525351999938721,0.08417839999795736
3,conv2_fc,sgd,0.01,5,0.5,40,1.0,4,True,0.14430616796016693,0.8888888888888888,1.0,21223,0.7895465999972657,0.19738664999931643
4,fc2_only,adam,0.01,5,0.5,40,1.0,5,True,0.23429878056049347,1.0,1.0,153,0.4079356000002008,0.08158712000004016
5,fc2_only,sgd,0.001,5,0.5,40,1.0,40,False,0.3940219283103943,0.9629629629629629,0.9629629629629629,153,3.2210896000033244,0.08052724000008311
6,fc2_only,sgd,0.05,5,0.5,40,1.0,6,True,0.06423290818929672,1.0,1.0,153,0.4853249000007054,0.0808874833334509
7,fc2_only,sgd,0.1,5,0.5,40,1.0,4,True,0.03614792600274086,0.8148148148148148,1.0,153,0.3223827000038,0.08059567500095
8,fc2_only,sgd,0.01,3,0.5,40,1.0,7,True,0.19983822107315063,0.9259259259259259,1.0,153,0.5995421999978134,0.08564888571397335
9,fc2_only,sgd,0.01,9,0.5,40,1.0,9,True,0.3311181366443634,0.9629629629629629,1.0,153,0.6856305999972392,0.07618117777747102
10,fc2_only,sgd,0.01,27,0.5,40,1.0,14,True,0.5394894480705261,0.9259259259259259,1.0,153,1.037057099994854,0.07407550714248957
11,fc2_only,sgd,0.01,5,0.0,40,1.0,4,True,0.38787439465522766,0.9629629629629629,1.0,153,0.3211749999973108,0.0802937499993277
12,fc2_only,sgd,0.01,5,0.25,40,1.0,6,True,0.27772393822669983,0.9259259259259259,1.0,153,0.51240510000207,0.08540085000034499
13,fc2_only,sgd,0.01,5,0.65,40,1.0,8,True,0.2704155743122101,0.8888888888888888,1.0,153,0.6425802999947337,0.0803225374993417
14,fc1_fc2,adam,0.1,5,0.25,40,1.0,3,True,0.0028330350760370493,0.9629629629629629,1.0,16203,0.2444178000005195,0.08147260000017316
15,conv2_fc,adam,0.01,3,0.65,40,1.0,40,False,1.098648190498352,0.3333333333333333,0.3333333333333333,21223,5.018571699998574,0.12546429249996435
